no_cargo,CATEGORIA
,NAO INFORMADO
1 SARGENTO DA RESERVA,MILITAR
1 VIOLINISTA SUBSTITUTO,MUSICO
1. SARGENTO,MILITAR
1. TENENTE,MILITAR
2 SARGENTO DA RESERVA,MILITAR
2 TENENTE DA RESERVA,MILITAR
2. SARGENTO,MILITAR
2. TENENTE,MILITAR
3 SARGENTO DA RESERVA,MILITAR
3. SARGENTO,MILITAR
A DISPOSICAO,DISPOSICAO
A DISPOSICAO - NIVEL MEDIO,DISPOSICAO
A DISPOSICAO - SUPERIOR,DISPOSICAO
À Disposição,DISPOSICAO
À DISPOSIÇÃO,DISPOSICAO
ADJ.ADMINISTRATIVO,ADMINISTRATIVO
ADMINIST JUDICIARIO AUXILIA,ADMINISTRATIVO
ADMINISTRADOR,ADMINISTRATIVO
ADMINISTRADOR  A1,ADMINISTRATIVO
ADMINISTRADOR  C7,ADMINISTRATIVO
ADMINISTRADOR  I1,ADMINISTRATIVO
ADMINISTRADOR  I7,ADMINISTRATIVO
ADMINISTRADOR  III1,ADMINISTRATIVO
ADMINISTRADOR  III5,ADMINISTRATIVO
ADMINISTRADOR  III6,ADMINISTRATIVO
ADMINISTRADOR  IV1,ADMINISTRATIVO
ADMINISTRADOR (ESTATUTARIO),ADMINISTRATIVO
ADMINISTRADOR C4,ADMINISTRATIVO
ADMINISTRADOR C5,ADMINISTRATIVO
ADMINISTRADOR C6,ADMINISTRATIVO
ADMINISTRADOR C7,ADMINISTRATIVO
ADMINISTRADOR D7,ADMINISTRATIVO
ADMINISTRADOR I-I,ADMINISTRATIVO
ADMINISTRADOR III,ADMINISTRATIVO
ADMINISTRADOR III5,ADMINISTRATIVO
ADMINISTRADOR IV 3,ADMINISTRATIVO
ADMINISTRADOR IV1,ADMINISTRATIVO
ADMINISTRADOR IV2,ADMINISTRATIVO
ADMINISTRADOR IV5,ADMINISTRATIVO
ADMINISTRADOR JUDICIARIO,ADMINISTRATIVO
ADVOGADO,ADVOGADO
ADVOGADO  I1,ADVOGADO
ADVOGADO  III6,ADVOGADO
ADVOGADO  IV1,ADVOGADO
ADVOGADO (ESTATUTARIO),ADVOGADO
ADVOGADO A1,ADVOGADO
ADVOGADO A4,ADVOGADO
ADVOGADO C5,ADVOGADO
ADVOGADO C6,ADVOGADO
ADVOGADO C7,ADVOGADO
ADVOGADO C7-DJ-200960008927-0,ADVOGADO
ADVOGADO D6,ADVOGADO
ADVOGADO D7,ADVOGADO
ADVOGADO DE OFICIO,ADVOGADO
ADVOGADO IV5,ADVOGADO
ADVOGADO OFICIO 1 ENTRANCIA,ADVOGADO
AFERIDOR DE HIDROMETRO,TECNICO
AG ADM AUXILIAR,ADMINISTRATIVO
AG ADMINISTRATIVO,ADMINISTRATIVO
AG CONDUT VEICULO REPRESENT,MOTORISTA
AG CONDUTOR DE VEICULO DA PRES,MOTORISTA
AG PREV AUXILIAR,AGENTE
AG PREVIDENCIA,AGENTE
AG. ADM. GNA 4-13,ADMINISTRATIVO
AG.DE PORTARIA,AGENTE
AGENCIADOR DE PROPAGANDA,AGENTE
AGENTE ADM,AGENTE
AGENTE ADM AUXILIAR,AGENTE
AGENTE ADM. AUXILIAR,AGENTE
AGENTE ADM. AUXILIAR ( ESTATUT,AGENTE
AGENTE ADMINISTRATIVO,AGENTE
AGENTE ADMINISTRATIVO (ESTATUT,AGENTE
AGENTE ADMINISTRATIVO NEFETIV,AGENTE
AGENTE APOIO ADMINISTRATIVO,AGENTE
AGENTE ATIV OPERACIONAL (ESTAT,AGENTE
AGENTE ATIVIDADE OPERACIONAL,AGENTE
AGENTE AUX ATVI ADMINISTRAT,AGENTE
AGENTE AUX ATVI OPERACIONAL,AGENTE
AGENTE COND DE VEICULOS,AGENTE
AGENTE COND. DE VEICULOS,AGENTE
AGENTE CONDUTOR DE VEÍCULO,AGENTE
AGENTE DATILOGRAFICO,AGENTE
AGENTE DE APOIO ADMINISTRATIV,AGENTE
AGENTE DE APOIO ADMINISTRATIVO,AGENTE
AGENTE DE ATIV ADMINISTRAT,AGENTE
AGENTE DE ATIV. ADMINISTRAT,AGENTE
AGENTE DE ATIV. ADMINISTRATIVA,AGENTE
AGENTE DE ATV OPERACIONAIS,AGENTE
AGENTE DE ATV. OPERACIONAIS,AGENTE
AGENTE DE DOCUMENTACAO,AGENTE
AGENTE DE INVESTIGACAO,AGENTE
AGENTE DE MANUTENCAO,AGENTE
AGENTE DE PAGAMENTO,AGENTE
AGENTE DE PORTARIA,AGENTE
AGENTE DE PROG GOVERNAMENTAIS,AGENTE
AGENTE DE PROG. GOVERNAMENTAIS,AGENTE
AGENTE DE PROMOTORIA,AGENTE
AGENTE DE SAUDE,AGENTE
AGENTE DE SEGURANCA,AGENTE
AGENTE DE SEGURANCA  II6,AGENTE
AGENTE DE SEGURANCA  II7,AGENTE
AGENTE DE SERV AUXILIARES,AGENTE
AGENTE DE SERVICOS GERAIS,AGENTE
AGENTE DE TRANSITO,AGENTE
AGENTE DE TRANSITO A1,AGENTE
AGENTE DE VENDAS,AGENTE
AGENTE DE VENDAS III3,AGENTE
AGENTE DE VENDAS III5,AGENTE
AGENTE DE VENDAS III6,AGENTE
AGENTE DE VENDAS III7,AGENTE
AGENTE DE VISTORIA,AGENTE
AGENTE DE VISTORIA A1,AGENTE
AGENTE DENGUE/TEMP,AGENTE
AGENTE DESENV COMUNITARIO,AGENTE
AGENTE DOCUMENTARISTA,AGENTE
AGENTE FISCAL MERCAD. TRANSITO,AGENTE
AGENTE OPERACIONAL,AGENTE
AGENTE PORTARIA GNA 1,AGENTE
AGENTE PROG.GOVERNAMENTAIS,AGENTE
AGENTE PROTETIVO,AGENTE
AGENTE PROTOCOLO E TRAMITAC,AGENTE
AGENTE REG MERCANTIL,AGENTE
AGENTE REG MERCANTIL C4,AGENTE
AGENTE REG MERCANTIL C6,AGENTE
AGENTE REGIONAL,AGENTE
AGENTE REGISTRO DO COMERCIO,AGENTE
AGENTE REPRODUCAO E DOCUMEN,AGENTE
AGENTE SEGUR PENITENCIARIO,AGENTE
AGENTE SEGUR. PENITENCIARIO,AGENTE
AGENTE SERV AUXILIARES,AGENTE
AGENTE TEC DOCUMENTARISTA,AGENTE
AGENTE TEC OPERADOR DE SOM,AGENTE
AGENTE TECN METROLOGICO,AGENTE
AGENTE TECNICO DE PAGAMENTO,AGENTE
AGENTE TECNICO METROLOGICO,AGENTE
AGENTE TECNICO SEGURANCA I,AGENTE
AGENTE TELECOMUNIC POLICIAL,AGENTE
AGRIMENSOR,TECNICO
ALMOXARIFE,TECNICO
ALMOXARIFE III6,TECNICO
ALUNO DO 1. E 2. ANO,ALUNO
ALUNO DO 3. E 4. ANO,ALUNO
ALUNO DO PRIM E SEG ANO,ALUNO
ALUNO DO TERC E QUART ANO,ALUNO
ANALISTA COMERCIAL,ANALISTA
ANALISTA DE   O  E  M,ANALISTA
ANALISTA DE ATIV DE DEFESA CO,ANALISTA
ANALISTA DE GESTAO ORGANIZAC.,ANALISTA
ANALISTA DE O E M,ANALISTA
ANALISTA DE PLAN E DES RURAL,ANALISTA
ANALISTA DE PRODUCAO,ANALISTA
ANALISTA DE SISTEMA,ANALISTA
ANALISTA DE SISTEMAS,ANALISTA
ANALISTA DE SISTEMAS  IV1,ANALISTA
ANALISTA DE SISTEMAS A1,ANALISTA
ANALISTA DE SISTEMAS NEFETIVO,ANALISTA
ANALISTA DE TRANSITO,ANALISTA
ANALISTA DE TRANSITO C6,ANALISTA
ANALISTA DE TRANSITO C7,ANALISTA
ANALISTA DE TRANSITO D1,ANALISTA
ANALISTA DE TRANSITO D6,ANALISTA
ANALISTA DE TRANSITO D7,ANALISTA
ANALISTA GESTAO ORGANIZACIONA,ANALISTA
ANALISTA GESTAO ORGANIZACIONAL,ANALISTA
ANALISTA INFO. CONSULTOR,ANALISTA
ANALISTA INFO. CONSULTOR1,ANALISTA
ANALISTA INFO. CONSULTOR2,ANALISTA
ANALISTA INFO. CONSULTOR3,ANALISTA
ANALISTA INFO. CONSULTOR4,ANALISTA
ANALISTA INFO. CONSULTOR5,ANALISTA
ANALISTA INFO. CONSULTOR6,ANALISTA
ANALISTA INFO. CONSULTOR7,ANALISTA
ANALISTA INFO. JUNIOR,ANALISTA
ANALISTA INFO. JUNIOR2,ANALISTA
ANALISTA INFO. JUNIOR3,ANALISTA
ANALISTA INFO. JUNIOR4,ANALISTA
ANALISTA INFO. JUNIOR5,ANALISTA
ANALISTA INFO. JUNIOR6,ANALISTA
ANALISTA INFO. JUNIOR7,ANALISTA
ANALISTA INFO. PLENO,ANALISTA
ANALISTA INFO. PLENO1,ANALISTA
ANALISTA INFO. PLENO2,ANALISTA
ANALISTA INFO. PLENO3,ANALISTA
ANALISTA INFO. PLENO4,ANALISTA
ANALISTA INFO. PLENO5,ANALISTA
ANALISTA INFO. PLENO6,ANALISTA
ANALISTA INFO. PLENO7,ANALISTA
ANALISTA INFO. SENIOR,ANALISTA
ANALISTA INFO. SENIOR1,ANALISTA
ANALISTA INFO. SENIOR2,ANALISTA
ANALISTA INFO. SENIOR3,ANALISTA
ANALISTA INFO. SENIOR4,ANALISTA
ANALISTA INFO. SENIOR5,ANALISTA
ANALISTA INFO. SENIOR6,ANALISTA
ANALISTA INFO. SENIOR7,ANALISTA
ANALISTA JUDICIARIO,ANALISTA
ANALISTA JUDICIARIO 2,ANALISTA
ANALISTA LEGISLATIVO,ANALISTA
ANALISTA MINISTERIAL,ANALISTA
ANALISTA PROGRAMADOR,ANALISTA
ANALISTA SUPORTE TECNICO,ANALISTA
ANALISTA SUPORTE TECNICO JR 1,ANALISTA
APOIO NIV FUNDAMENT TEMPORARIO,ADMINISTRATIVO
APOIO NIV.FUNDAMENT.TEMPORARIO,ADMINISTRATIVO
APOIO NIVEL MEDIO - TEMPORARIO,ADMINISTRATIVO
APOIO NIVEL MEDIO TEMPORARIO,ADMINISTRATIVO
APOSENTADO,APOSENTADO
APOSENTADO  P A I,APOSENTADO
